"doctor_id","first_name","last_name","specialty","phone_number","email","shift_start","shift_end"
1,"Doctor1","Test2","Cardiology","5550000001","doctor11@clinic.com","08:00:00","16:00:00"
2,"Doctor2","Test4","Pediatrics","5550000002","doctor22@clinic.com","08:00:00","16:00:00"
3,"Doctor3","Test6","Oncology","5550000003","doctor33@clinic.com","08:00:00","16:00:00"
4,"Doctor4","Test8","Dermatology","5550000004","doctor44@clinic.com","08:00:00","16:00:00"
5,"Doctor5","Test10","General Practice","5550000005","doctor55@clinic.com","08:00:00","16:00:00"
6,"Doctor6","Test12","Cardiology","5550000006","doctor66@clinic.com","08:00:00","16:00:00"
7,"Doctor7","Test14","Pediatrics","5550000007","doctor77@clinic.com","08:00:00","16:00:00"
8,"Doctor8","Test16","Oncology","5550000008","doctor88@clinic.com","08:00:00","16:00:00"
9,"Doctor9","Test18","Dermatology","5550000009","doctor99@clinic.com","08:00:00","16:00:00"
10,"Doctor10","Test20","General Practice","5550000010","doctor1010@clinic.com","08:00:00","16:00:00"
11,"Doctor11","Test22","Cardiology","5550000011","doctor1111@clinic.com","08:00:00","16:00:00"
12,"Doctor12","Test24","Pediatrics","5550000012","doctor1212@clinic.com","08:00:00","16:00:00"
13,"Doctor13","Test26","Oncology","5550000013","doctor1313@clinic.com","08:00:00","16:00:00"
14,"Doctor14","Test28","Dermatology","5550000014","doctor1414@clinic.com","08:00:00","16:00:00"
15,"Doctor15","Test30","General Practice","5550000015","doctor1515@clinic.com","08:00:00","16:00:00"
16,"Doctor16","Test32","Cardiology","5550000016","doctor1616@clinic.com","08:00:00","16:00:00"
17,"Doctor17","Test34","Pediatrics","5550000017","doctor1717@clinic.com","08:00:00","16:00:00"
18,"Doctor18","Test36","Oncology","5550000018","doctor1818@clinic.com","08:00:00","16:00:00"
19,"Doctor19","Test38","Dermatology","5550000019","doctor1919@clinic.com","08:00:00","16:00:00"
20,"Doctor20","Test40","General Practice","5550000020","doctor2020@clinic.com","08:00:00","16:00:00"
